"","cluster","X","class","species","mean_NMI","AltRange","Rough","Remot","RecInsul","DistNatAlien","PD","BodyMass","NatRangeSize","ED.Alien","mean.HII","Residence.time"
"33","Eleutherodactylus johnstonei_Barbados",99,"Amphibia","Eleutherodactylus johnstonei",0.918,1329,160.49,139077.38,"Island",481.7089227,449.414,4.1,5484.637772,0.500000019,50.6,1879
"34","Eleutherodactylus johnstonei_Colombia",62,"Amphibia","Eleutherodactylus johnstonei",0.455,1329,160.49,139077.38,"Continent",1546.601519,5247.678,4.1,5484.637772,0.008053239,41.8571428571429,1987
"35","Eleutherodactylus johnstonei_French Guiana",95,"Amphibia","Eleutherodactylus johnstonei",0.098,1329,160.49,139077.38,"Island",1690.649692,4950.248,4.1,5484.637772,0.011440809,35.8,1919
"36","Eleutherodactylus johnstonei_Grenada",98,"Amphibia","Eleutherodactylus johnstonei",0.326,1329,160.49,139077.38,"Island",532.7441808,586.642,4.1,5484.637772,0.25230886,29.8,1885
"37","Eleutherodactylus johnstonei_Guadeloupe",112,"Amphibia","Eleutherodactylus johnstonei",-0.134,1329,160.49,139077.38,"Island",90.377419,563.75,4.1,5484.637772,0.152761906,37,1967
"38","Eleutherodactylus johnstonei_Jamaica",73,"Amphibia","Eleutherodactylus johnstonei",0.068,1329,160.49,139077.38,"Island",1548.124571,844.611,4.1,5484.637772,0.034205966,36.4166666666667,1890
"39","Eleutherodactylus johnstonei_Martinique",71,"Amphibia","Eleutherodactylus johnstonei",0.121,1329,160.49,139077.38,"Island",252.8049578,645.132,4.1,5484.637772,0.253393762,39,1965
"40","Eleutherodactylus johnstonei_Netherlands Antilles",94,"Amphibia","Eleutherodactylus johnstonei",-0.002,1329,160.49,139077.38,"Island",928.2249332,1727.815,4.1,5484.637772,0.500000072,42.2,NA
"41","Eleutherodactylus johnstonei_Panama",107,"Amphibia","Eleutherodactylus johnstonei",0.327,1329,160.49,139077.38,"Continent",2116.632888,5051.037,4.1,5484.637772,0.026830101,42,1987
"42","Eleutherodactylus johnstonei_Saint Lucia",97,"Amphibia","Eleutherodactylus johnstonei",0.285,1329,160.49,139077.38,"Island",354.9883643,613.642,4.1,5484.637772,0.264235553,26.8,1995
"43","Eleutherodactylus johnstonei_Saint Vincent and the Grenadines",59,"Amphibia","Eleutherodactylus johnstonei",0.12,1329,160.49,139077.38,"Island",413.3019566,599.16,4.1,5484.637772,0.24769115,24.4,1969
"44","Eleutherodactylus johnstonei_Trinidad and Tobago",117,"Amphibia","Eleutherodactylus johnstonei",0.539,1329,160.49,139077.38,"Island",659.4313414,1596.07,4.1,5484.637772,0.050227582,44.3333333333333,1978
"45","Eleutherodactylus martinicensis_Antigua and Barbuda",116,"Amphibia","Eleutherodactylus martinicensis",0.448,1329,168.64,343845.2,"Island",256.360207,494.44,10.49,4595.873448,0.471528894,34.3333333333333,NA
"46","Eleutherodactylus martinicensis_Dominica",49,"Amphibia","Eleutherodactylus martinicensis",-0.066,1329,168.64,343845.2,"Island",52.27478976,598.405,10.49,4595.873448,0.190208876,23.45,1992
"47","Eleutherodactylus planirostris_Guam",96,"Amphibia","Eleutherodactylus planirostris",0.186,1731,46.13,103153.92,"Island",13361.97012,989.473,4.49,75807.83147,0.346142742,42.6,2003
"48","Eleutherodactylus planirostris_Honduras",69,"Amphibia","Eleutherodactylus planirostris",0.533,1731,46.13,103153.92,"Continent",805.3530403,2981.125,4.49,75807.83147,0.032942902,39.5,NA
"49","Eleutherodactylus planirostris_Jamaica",65,"Amphibia","Eleutherodactylus planirostris",0.235,1731,46.13,103153.92,"Island",161.2893269,832.196,4.49,75807.83147,0.034165161,29.2,NA
"50","Eleutherodactylus planirostris_Mexico_VER",47,"Amphibia","Eleutherodactylus planirostris",0.105,1731,46.13,103153.92,"Continent",1331.511302,2459.738,4.49,75807.83147,0.106966827,48.2,NA
"51","Eleutherodactylus planirostris_Mexico_YUC",45,"Amphibia","Eleutherodactylus planirostris",0.457,1731,46.13,103153.92,"Continent",341.5246162,1420.085,4.49,75807.83147,0.059289239,38.0909090909091,NA
"52","Eleutherodactylus planirostris_United States",72,"Amphibia","Eleutherodactylus planirostris",0.403,1731,46.13,103153.92,"Continent",86.42259997,2124.489,4.49,75807.83147,0.053465977,37.9190207156309,1863
"53","Eleutherodactylus planirostris_United States_HW",60,"Amphibia","Eleutherodactylus planirostris",-0.454,1731,46.13,103153.92,"Island",7309.374588,474.664,4.49,75807.83147,0.188602109,34.231884057971,NA
"54","Foudia madagascariensis_Comoros",19,"Aves","Foudia madagascariensis",-0.027,2773,99.27,414860.26,"Island",401.2224365,2955.916,16.6,593926.4796,0.77936318,25.1785714285714,1864
"55","Foudia madagascariensis_Mauritius",18,"Aves","Foudia madagascariensis",-0.086,2773,99.27,414860.26,"Island",869.4051162,2061.832,16.6,593926.4796,0.345288322,34.2064516129032,1750
"56","Foudia madagascariensis_Mayotte",31,"Aves","Foudia madagascariensis",0.513,2773,99.27,414860.26,"Island",299.2933825,2751.405,16.6,593926.4796,0.308855419,21.875,2003
"57","Foudia madagascariensis_Reunion",55,"Aves","Foudia madagascariensis",-0.374,2773,99.27,414860.26,"Island",678.6090876,2160.971,16.6,593926.4796,0.46931287,28.841095890411,1760
"58","Foudia madagascariensis_Seychelles",57,"Aves","Foudia madagascariensis",0.016,2773,99.27,414860.26,"Island",359.2143457,2253.783,16.6,593926.4796,0.545935342,NA,1860
"59","Furcifer oustaleti_United States",11,"Reptilia","Furcifer oustaleti",0.543,2773,99.26,414857.43,"Continent",14263.40992,1966.727,434.3,1188452.801,0.086010196,39.5714285714286,NA
"60","Furcifer pardalis_Mauritius",51,"Reptilia","Furcifer pardalis",-0.389,1857,135.82,742964.63,"Island",890.4329374,1247.994,268.8,111236.5169,0.090628596,33,NA
"61","Furcifer pardalis_Reunion",50,"Reptilia","Furcifer pardalis",-1.013,1857,135.82,742964.63,"Island",684.9725277,814.269,268.8,111236.5169,0.232001917,32.6470588235294,NA
"62","Leiocephalus carinatus_United States",39,"Reptilia","Leiocephalus carinatus",0.486,1733,63.06,82605.04,"Continent",83.9487528,1944.616,71.9,48770.39888,0.076926775,45.8352112676056,1936
"63","Leiocephalus schreibersii_United States",84,"Reptilia","Leiocephalus schreibersii",0.361,1835,177.58,628733.09,"Continent",963.6238269,1919.75,35.3,12004.60859,0.089452401,52.3333333333333,1978
"64","Margaroperdix madagarensis_Reunion",64,"Aves","Margaroperdix madagarensis",-0.666,2773,105.25,414860.26,"Island",723.8654204,2160.971,245,546164.1514,NA,24.6136363636364,1770
"65","Ninox novaeseelandiae_Australia",40,"Aves","Ninox novaeseelandiae",-0.851,NA,NA,NA,"Continent",894.8537294,8012.234,183.4,269580.9982,0.633886949,15.2138936149722,1922
"66","Osteopilus septentrionalis_Anguilla",114,"Amphibia","Osteopilus septentrionalis",0.32,1731,45.3,103153.92,"Island",1194.484752,449.414,57,118780.6072,0.499999944,38,1983
"67","Osteopilus septentrionalis_Antigua and Barbuda",26,"Amphibia","Osteopilus septentrionalis",0.357,1731,45.3,103153.92,"Island",1349.706152,494.44,57,118780.6072,0.313811143,38,1994
"68","Osteopilus septentrionalis_British Virgin Islands",27,"Amphibia","Osteopilus septentrionalis",0.402,1731,45.3,103153.92,"Island",1024.762497,828.037,57,118780.6072,0.219815082,33,1990
"69","Osteopilus septentrionalis_Cayman Islands",32,"Amphibia","Osteopilus septentrionalis",0.83,1731,45.3,103153.92,"Island",218.2726561,449.414,57,118780.6072,0.312234491,27.8,NA
"70","Osteopilus septentrionalis_Netherlands Antilles",43,"Amphibia","Osteopilus septentrionalis",0.191,1731,45.3,103153.92,"Island",1062.372534,1095.111,57,118780.6072,0.313811171,40,NA
"71","Osteopilus septentrionalis_Puerto Rico",63,"Amphibia","Osteopilus septentrionalis",0.428,1731,45.3,103153.92,"Island",763.681994,1018.655,57,118780.6072,0.033530628,47.010752688172,1959
"72","Osteopilus septentrionalis_Saint Kitts and Nevis",113,"Amphibia","Osteopilus septentrionalis",0.269,1731,45.3,103153.92,"Island",1271.177511,495.756,57,118780.6072,0.326928608,31.5,1995
"73","Osteopilus septentrionalis_The Bahamas",24,"Amphibia","Osteopilus septentrionalis",0.226,1731,45.3,103153.92,"Island",196.1322219,492.114,57,118780.6072,0.17584824,25.5,1964
"74","Osteopilus septentrionalis_United States",44,"Amphibia","Osteopilus septentrionalis",0.523,1731,45.3,103153.92,"Continent",162.416851,2081.668,57,118780.6072,0.006007787,39.7125579854208,1801
"75","Osteopilus septentrionalis_Virgin Islands",28,"Amphibia","Osteopilus septentrionalis",0.489,1731,45.3,103153.92,"Island",996.1355579,814.653,57,118780.6072,0.075716796,39.7857142857143,1974
"76","Phasianus versicolor_Belgium",4,"Aves","Phasianus versicolor",-0.502,3644,194.26,174128.41,"Continent",8811.867988,5158.405,918.8,290222.5956,0.576176076,41.7045454545455,NA
"77","Phasianus versicolor_Canada",104,"Aves","Phasianus versicolor",-0.806,3644,194.26,174128.41,"Continent",7051.434455,5312.733,918.8,290222.5956,0.682845198,54.6666666666667,1972
